"taxon_id","taxon_full","degreeOfEstablishment","locality"
"GymPiPiPnCx50638-00","Abies alba NA","invasive (category D2)","L48"
"GymPiPiPnCx50653-00","Abies firma NA","established (category C3)","L48"
"GymPiPiPnCx50661-00","Abies homolepis NA","established (category C3)","L48"
"AngMaFaFbCx09090-00","Acacia aneura NA","established (category C3)","HI"
"AngMaFaFbCx09107-00","Acacia auriculiformis NA","invasive (category D2)","HI"
"AngMaFaFbCx09107-00","Acacia auriculiformis NA","invasive (category D2)","L48"
"AngMaFaFbCx09110-00","Acacia baileyana NA","invasive (category D2)","L48"
"AngMaFaFbCx09155-00","Acacia confusa NA","widespread invasive (category E)","HI"
"AngMaFaFbCx09174-00","Acacia cyclops NA","invasive (category D2)","L48"
"AngMaFaFbCx09179-00","Acacia dealbata NA","invasive (category D2)","L48"
"AngMaFaFbCx09182-00","Acacia decurrens NA","invasive (category D2)","L48"
"AngMaFaFbCx09206-00","Acacia elata NA","invasive (category D2)","L48"
"AngMaFaFbCx09304-00","Acacia longifolia NA","invasive (category D2)","L48"
"AngMaFaFbCx09317-00","Acacia mangium NA","invasive (category D2)","HI"
"AngMaFaFbCx09323-00","Acacia mearnsii NA","widespread invasive (category E)","HI"
"AngMaFaFbCx09323-00","Acacia mearnsii NA","invasive (category D2)","L48"
"AngMaFaFbCx09325-00","Acacia melanoxylon NA","widespread invasive (category E)","HI"
"AngMaFaFbCx09325-00","Acacia melanoxylon NA","invasive (category D2)","L48"
"AngMaFaFbCx09366-00","Acacia paradoxa NA","invasive (category D2)","L48"
"AngMaFaFbCx09368-00","Acacia parramattensis NA","established (category C3)","HI"
"AngMaFaFbCx09382-00","Acacia podalyriifolia NA","invasive (category D2)","L48"
"AngMaFaFbCx09400-00","Acacia pycnantha NA","invasive (category D2)","L48"
"AngMaFaFbCx09407-00","Acacia redolens NA","established (category C3)","L48"
"AngMaFaFbCx09411-00","Acacia retinodes NA","invasive (category D2)","HI"
"AngMaFaFbCx09411-00","Acacia retinodes NA","invasive (category D2)","L48"
"AngMaFaFbCx09425-00","Acacia saligna NA","invasive (category D2)","L48"
"AngMaFaFbCx09491-00","Acacia verticillata NA","invasive (category D2)","L48"
"AngMaMaPhRb28814-00","Acalypha wilkesiana NA","established (category C3)","L48"
"AngMaSaSpNd47910-00","Acer campestre NA","established (category C3)","L48"
"AngMaSaSpNd47943-00","Acer japonicum NA","established (category C3)","L48"
"AngMaSaSpNd47972-00","Acer palmatum NA","widespread invasive (category E)","L48"
"AngMaSaSpNd47982-00","Acer platanoides NA","widespread invasive (category E)","L48"
"AngMaSaSpNd47983-00","Acer pseudoplatanus NA","widespread invasive (category E)","L48"
"AngMaSaSpNd48005-00","Acer tataricum NA","established (category C3)","L48"
"AngNAPaRcCx49655-00","Acrocomia totai NA","established (category C3)","L48"
"AngMaFaFbCx09521-00","Adenanthera pavonina NA","invasive (category D2)","HI"
"AngMaFaFbCx09521-00","Adenanthera pavonina NA","invasive (category D2)","L48"
"AngMaSaSpNd48028-00","Aesculus hippocastanum NA","established (category C3)","L48"
"GymPiPiPdCr50481-00","Afrocarpus falcatus NA","established (category C3)","HI"
"AngMaSaSmRb47840-00","Ailanthus altissima NA","invasive (category D2)","HI"
"AngMaSaSmRb47840-00","Ailanthus altissima NA","widespread invasive (category E)","L48"
"AngMaFaFbCx09550-00","Albizia adianthifolia NA","established (category C3)","HI"
"AngMaFaFbCx09575-00","Albizia chinensis NA","invasive (category D2)","HI"
"AngMaFaFbCx09598-00","Albizia julibrissin NA","widespread invasive (category E)","L48"
"AngMaFaFbCx09603-00","Albizia lebbeck NA","widespread invasive (category E)","HI"
"AngMaFaFbCx09603-00","Albizia lebbeck NA","invasive (category D2)","L48"
"AngMaFaFbCx09604-00","Albizia lebbekoides NA","established (category C3)","L48"
"AngMaFaFbCx09614-00","Albizia niopoides NA","established (category C3)","HI"
"AngMaFaFbCx09630-00","Albizia procera NA","invasive (category D2)","HI"
"AngMaFaFbCx09630-00","Albizia procera NA","invasive (category D2)","L48"
"AngMaFaFbCx09635-00","Albizia saponaria NA","established (category C3)","HI"
"AngMaMaPhRb28879-00","Aleurites moluccanus NA","established (category C3)","HI"
"AngMaMaPhRb28879-00","Aleurites moluccanus NA","invasive (category D2)","L48"
"AngMaFaBtLc13990-00","Alnus cordata NA","established (category C3)","L48"
"AngMaFaBtLc13996-00","Alnus glutinosa NA","widespread invasive (category E)","L48"
"AngMaFaBtLc14009-00","Alnus nepalensis NA","established (category C3)","HI"
"AngMaRoRhMn43873-00","Alphitonia excelsa NA","invasive (category D2)","HI"
"AngMaGePcYn15330-00","Alstonia macrophylla NA","invasive (category D2)","HI"
"AngMaGePcYn15330-00","Alstonia macrophylla NA","invasive (category D2)","L48"
"AngMaGePcYn15340-00","Alstonia scholaris NA","established (category C3)","L48"
"AngMaMyMyRt37249-00","Angophora costata NA","invasive (category D2)","HI"
"AngMaMaNnNc24958-00","Annona cherimola NA","invasive (category D2)","HI"
"AngMaMaNnNc25016-00","Annona muricata NA","invasive (category D2)","HI"
"AngMaApRlCx00007-00","Aralia chinensis NA","established (category C3)","L48"
"AngMaApRlCx00015-00","Aralia elata NA","invasive (category D2)","L48"
"GymPiPiRcRc50883-00","Araucaria columnaris NA","established (category C3)","HI"
"GymPiPiRcRc50886-00","Araucaria heterophylla NA","established (category C3)","L48"
"AngMaErRcCa06930-00","Arbutus unedo NA","established (category C3)","L48"
"AngNAPaRcCx49669-00","Archontophoenix alexandrae NA","established (category C3)","HI"
"AngMaErPrMl06199-00","Ardisia elliptica NA","widespread invasive (category E)","HI"
"AngMaErPrMl06199-00","Ardisia elliptica NA","invasive (category D2)","L48"
"AngNAPaRcCx49689-00","Arenga pinnata NA","invasive (category D2)","HI"
"AngMaFaFbCx09871-00","Argyrocytisus battandieri NA","established (category C3)","L48"
"AngMaOxLcRp41491-00","Aristotelia chilensis NA","invasive (category D2)","L48"
"AngMaRoMrCx43020-00","Artocarpus heterophyllus NA","widespread invasive (category E)","HI"
"AngMaGeRbCx16103-00","Atractocarpus fitzalanii NA","established (category C3)","HI"
"AngMaCaCcTc03029-00","Austrocylindropuntia subulata NA","established (category C3)","L48"
"AngMaLaCnTh20386-00","Avicennia marina NA","established (category C3)","L48"
"AngMaSaMlCx45950-00","Azadirachta indica NA","invasive (category D2)","HI"
"AngMaPrPrTc42239-00","Banksia integrifolia NA","invasive (category D2)","HI"
"AngMaFaFbCx09996-00","Bauhinia galpinii NA","established (category C3)","L48"
"AngMaFaFbCx10017-00","Bauhinia monandra NA","widespread invasive (category E)","HI"
"AngMaFaFbCx10017-00","Bauhinia monandra NA","invasive (category D2)","L48"
"AngMaFaFbCx10037-00","Bauhinia purpurea NA","invasive (category D2)","L48"
"AngMaRaBrBr42755-00","Berberis julianae NA","invasive (category D2)","L48"
"AngMaFaBtLc14051-00","Betula pendula NA","widespread invasive (category E)","AK"
"AngMaFaBtLc14051-00","Betula pendula NA","widespread invasive (category E)","L48"
"AngMaFaBtLc14054-00","Betula pubescens NA","invasive (category D2)","L48"
"AngMaMaPhYl30851-00","Bischofia javanica NA","invasive (category D2)","HI"
"AngMaMaPhYl30851-00","Bischofia javanica NA","invasive (category D2)","L48"
"AngMaMaBxCx32997-00","Bixa orellana NA","widespread invasive (category E)","HI"
"AngMaMaBxCx32997-00","Bixa orellana NA","invasive (category D2)","L48"
"AngMaRaPpVr42799-00","Bocconia frutescens NA","established (category C3)","HI"
"AngMaErPrMl06344-00","Bonellia macrocarpa NA","established (category C3)","L48"
"AngMaCaNyCt03218-00","Bougainvillea glabra NA","invasive (category D2)","L48"
"AngMaMaMlVc33586-00","Brachychiton populneus NA","established (category C3)","L48"
"AngMaCaCcTc03030-00","Brasiliopuntia brasiliensis NA","established (category C3)","L48"
"AngMaCeClSt03582-00","Brexia madagascariensis NA","established (category C3)","HI"
"AngMaMaPhYl30858-00","Breynia disticha NA","widespread invasive (category E)","HI"
"AngMaMaPhYl30858-00","Breynia disticha NA","invasive (category D2)","L48"
"AngMaRoMrCx43063-00","Brosimum alicastrum NA","established (category C3)","L48"
"AngMaRoMrCx43083-00","Broussonetia papyrifera NA","widespread invasive (category E)","L48"
"AngMaSoSlNc49131-00","Brugmansia sanguinea NA","established (category C3)","L48"
"AngMaSoSlNc49132-00","Brugmansia suaveolens NA","invasive (category D2)","L48"
"AngMaSoSlNc49133-00","Brugmansia versicolor NA","established (category C3)","L48"
"AngMaMaRhZp31787-00","Bruguiera gymnorhiza NA","established (category C3)","L48"
"AngMaMaRhZp31789-00","Bruguiera sexangula NA","established (category C3)","HI"
"AngMaLaScRp21418-00","Buddleja alternifolia NA","established (category C3)","L48"
"AngMaLaScRp21420-00","Buddleja asiatica NA","established (category C3)","HI"
"AngMaLaScRp21432-00","Buddleja madagascariensis NA","widespread invasive (category E)","HI"
"AngMaLaScRp21432-00","Buddleja madagascariensis NA","invasive (category D2)","L48"
"AngMaLaScRp21436-00","Buddleja officinalis NA","established (category C3)","L48"
"AngMaLaScRp21443-00","Buddleja saligna NA","established (category C3)","L48"
"AngLiArRcCx00001-00","Butia capitata NA","established (category C3)","L48"
"AngMaBuBxCa02832-00","Buxus microphylla NA","established (category C3)","L48"
"AngMaBuBxCa02846-00","Buxus sempervirens NA","established (category C3)","L48"
"AngMaFaFbCx10186-00","Caesalpinia pulcherrima NA","widespread invasive (category E)","L48"
"AngMaFaFbCx10210-00","Calliandra haematocephala NA","widespread invasive (category E)","L48"
"AngMaFaFbCx10234-00","Calliandra surinamensis NA","invasive (category D2)","HI"
"AngMaLaLmCx20957-00","Callicarpa macrophylla NA","established (category C3)","HI"
"GymPiPiCpRs50358-00","Callitris columellaris NA","established (category C3)","HI"
"GymPiPiCpRs50358-00","Callitris columellaris NA","established (category C3)","L48"
"GymPiPiCpRs50360-00","Callitris endlicheri NA","established (category C3)","HI"
"AngMaMaClPh27228-00","Calophyllum brasiliense NA","invasive (category D2)","L48"
"AngMaMaClPh27281-00","Calophyllum inophyllum NA","invasive (category D2)","L48"
"AngMaGePcYn15408-00","Calotropis procera NA","widespread invasive (category E)","HI"
"AngMaGePcYn15408-00","Calotropis procera NA","invasive (category D2)","L48"
"AngMaErThCx08885-00","Camellia japonica NA","established (category C3)","L48"
"AngMaErThCx08911-00","Camellia sasanqua NA","established (category C3)","L48"
"AngMaErThCx08915-00","Camellia sinensis NA","widespread invasive (category E)","HI"
"AngMaErThCx08915-00","Camellia sinensis NA","invasive (category D2)","L48"
"AngMaBrCpPr02602-00","Capparidastrum mollicellum NA","established (category C3)","HI"
"AngMaFaFbCx10280-00","Caragana arborescens NA","widespread invasive (category E)","AK"
"AngMaFaFbCx10280-00","Caragana arborescens NA","widespread invasive (category E)","L48"
"AngMaBrCrCc02742-00","Carica papaya NA","widespread invasive (category E)","HI"
"AngMaBrCrCc02742-00","Carica papaya NA","widespread invasive (category E)","L48"
"AngMaGePcYn15416-00","Carissa macrocarpa NA","widespread invasive (category E)","HI"
"AngMaGePcYn15416-00","Carissa macrocarpa NA","invasive (category D2)","L48"
"AngMaFaBtLc14059-00","Carpinus betulus NA","established (category C3)","L48"
"AngNAPaRcCx49835-00","Caryota mitis NA","invasive (category D2)","HI"
"AngNAPaRcCx49835-00","Caryota mitis NA","invasive (category D2)","L48"
"AngNAPaRcCx49839-00","Caryota urens NA","established (category C3)","L48"
"AngMaMaSlCc32207-00","Casearia nitida NA","established (category C3)","L48"
"AngMaFaFbCx10298-00","Cassia afrofistula NA","established (category C3)","L48"
"AngMaFaFbCx10309-00","Cassia fistula NA","established (category C3)","L48"
"AngMaFaFbCx10313-00","Cassia javanica NA","invasive (category D2)","L48"
"AngMaFaFgCx14159-00","Castanea crenata NA","established (category C3)","L48"
"AngMaFaFgCx14162-00","Castanea mollissima NA","established (category C3)","L48"
"AngMaFaFgCx14165-00","Castanea sativa NA","invasive (category D2)","L48"
"AngMaRoMrCx43084-00","Castilla elastica NA","invasive (category D2)","HI"
"AngMaFaCsRn14133-00","Casuarina cunninghamiana NA","invasive (category D2)","HI"
"AngMaFaCsRn14133-00","Casuarina cunninghamiana NA","invasive (category D2)","L48"
"AngMaFaCsRn14134-00","Casuarina equisetifolia NA","widespread invasive (category E)","HI"
"AngMaFaCsRn14134-00","Casuarina equisetifolia NA","invasive (category D2)","L48"
"AngMaFaCsRn14135-00","Casuarina glauca NA","invasive (category D2)","HI"
"AngMaFaCsRn14135-00","Casuarina glauca NA","invasive (category D2)","L48"
"AngMaLaBgNn20042-00","Catalpa longissima NA","established (category C3)","HI"
"AngMaLaBgNn20044-00","Catalpa ovata NA","invasive (category D2)","L48"
"AngMaCeClSt03590-00","Catha edulis NA","established (category C3)","HI"
"AngMaRoRtCc44788-00","Cecropia obtusifolia NA","widespread invasive (category E)","HI"
"AngMaRoRtCc44789-00","Cecropia pachystachya NA","invasive (category D2)","L48"
"AngMaRoRtCc44790-00","Cecropia palmata NA","invasive (category D2)","L48"
"AngMaSaMlCx45978-00","Cedrela odorata NA","widespread invasive (category E)","HI"
"GymPiPiPnCx50686-00","Cedrus deodara NA","established (category C3)","L48"
"AngMaRoCnNb42825-00","Celtis australis NA","established (category C3)","L48"
"AngMaRoCnNb42863-00","Celtis sinensis NA","invasive (category D2)","L48"
"AngMaFaFbCx10351-00","Ceratonia siliqua NA","established (category C3)","L48"
"AngMaSaCrCd48963-00","Cercidiphyllum japonicum NA","established (category C3)","L48"
"AngMaCaCcTc03052-00","Cereus repandus NA","invasive (category D2)","L48"
"AngMaSoSlNc49156-00","Cestrum aurantiacum NA","invasive (category D2)","HI"
"AngMaSoSlNc49166-00","Cestrum diurnum NA","widespread invasive (category E)","HI"
"AngMaSoSlNc49166-00","Cestrum diurnum NA","invasive (category D2)","L48"
"AngMaSoSlNc49190-00","Cestrum nocturnum NA","widespread invasive (category E)","HI"
"AngMaSoSlNc49190-00","Cestrum nocturnum NA","invasive (category D2)","L48"
"AngMaSoSlNc49193-00","Cestrum parqui NA","invasive (category D2)","L48"
"GymPiPiCpRs50377-00","Chamaecyparis obtusa NA","established (category C3)","L48"
NA,"Chrysanthemoides monilifera NA","invasive (category D2)","L48"
"AngMaMaChRy26730-00","Chrysobalanus icaco NA","invasive (category D2)","HI"
"AngMaErSpTc07408-00","Chrysophyllum oliviforme NA","established (category C3)","HI"
"AngMaGeRbCx16381-00","Cinchona pubescens NA","invasive (category D2)","HI"
